Field=#~Integer~#~50|Field=Assembly Info~String~Assembly Info~100|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=Quantity~Integer~Quantity~100|Field=Manufacturer Part Number~String~Manufacturer Part Number~100|Field=PartType~String~PartType~100|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~100|Field=Supplier 1~String~Supplier 1~100|Field=Supplier Part Number 1~String~Supplier Part Number 1~100|Field=Manufacturer~String~Manufacturer~100|Field=Part Description~String~Part Description~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~LimeNet-Micro_2v0.PrjPcb|ReportField=ProjectFullPath~d:\Lime\LimePCBs\LimeNET-Micro_2v0\Altium Designer design files\LimeNet-Micro_2v0.PrjPcb|ReportField=Title~Bill of Materials For Project [LimeNet-Micro_2v0.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~785|ReportField=ReportTime~17:11:37|ReportField=ReportDate~2018-11-09|ReportField=ReportDateTime~2018-11-09 17:11:37|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~Surrey Tech Centre|ReportField=Address2~Guildford GU2 7YG|ReportField=Address3~Surrey|ReportField=Address4~United Kingdom|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2018-11-09|ReportField=CurrentTime~16:12:47|ReportField=Date~|ReportField=DocumentFullPathAndName~d:\Lime\LimePCBs\LimeNET-Micro_2v0\Altium Designer design files\Schematics\01_BlockDiagram.SchDoc|ReportField=DocumentName~01_BlockDiagram.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2018-11-09|ReportField=Organization~Lime Microsystems|ReportField=ProjectName~LimeNet-Micro_2v0.PrjPcb|ReportField=Revision~v1.0|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~13|ReportField=Time~|ReportField=Title~Block diagram|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=IsUserConfigurable~|ReportField=PageSetup~Record=PageOptions:CenterHorizontal=True:CenterVertical=True:PrintScale=0.73:XCorrection=1.00:YCorrection=1.00:PrintKind=0:BorderSize=5000000:LeftOffset=0:BottomOffset=0:Orientation=1:PaperLength=2970:PaperWidth=2100:Scale=100:PaperSource=7:PrintQuality=-3:MediaType=1:DitherType=10:PrintScaleMode=1:PaperKind=A4:PaperIndex=9|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~LimeNet-Micro_2v0.PrjPcb|ReportField=DataSourceFullPath~d:\Lime\LimePCBs\LimeNET-Micro_2v0\Altium Designer design files\LimeNet-Micro_2v0.PrjPcb
1||FOD817A3SD||AT1|FOD817A3SD_optoisolator_FOD817|1||FOD817A3SD|FOD817A3SD|Digi-Key|FOD817A3SDDKR-ND|ON Semiconductor / Fairchild|Optoisolator Transistor Output 5000Vrms 1 Channel 4-SMD
2||DF01S|Diode Bridge|BR1, BR2|DF01S-T_RECTIFIER_BRIDGE_v1|2||DF01S|DF01S|Digi-Key|DF01SDI-ND|Diodes Incorporated|Bridge Rectifier Single Phase Standard 100V Surface Mount DF-S
3||10pF, 25V||C1, C15, C16, C23, C24, C153, C154, C268|CAP0402|8||10pF, 25V|04023A100JAT2A|Farnell|2332478RL|AVX|10pF ±5% 25V C0G, NP0 Ceramic Capacitor -55°C ~ 125°C Surface Mount, MLCC 0402 (1005 Metric) 0.039" L x 0.020" W (1.00mm x 0.50mm)
4|[NoParam], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], NF, [NoValue], [NoParam], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoParam], [NoParam], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], NF, [NoValue], [NoValue], NF, [NoValue], [NoValue], [NoParam], [NoParam], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoParam], NF, [NoValue], [NoParam], [NoParam], [NoValue], [NoValue], [NoValue]|100nF, 16V||C2, C4, C6, C10, C13, C84, C121, C123, C124, C125, C127, C128, C129, C130, C131, C132, C133, C134, C135, C137, C139, C141, C142, C143, C144, C145, C146, C147, C148, C149, C150, C151, C152, C155, C163, C164, C165, C167, C188, C198, C200, C201, C203, C204, C205, C206, C207, C208, C209, C212, C213, C215, C218, C219, C220, C221, C222, C225, C229, C234, C237, C240, C243, C245, C246, C252, C257, C258, C267, C269, C279, MN14, MN17|CAP0402|73||100nF, 16V|GRM155R71C104KA88D|Mouser|81-GRM155R71C104KA88|Murata Electronics|CAP CER 0.1UF 16V X7R 0402
5||100pF, 50V||C3, C5, C7, C8, C9, C11, C12, C14, C17, C18, C19, C20, C21, C22, C120, C122, C126, C224, C230, C231, C235, C236, C238, C239, C247, C248, C249, C250, C253, C254, C255, C256|CAP0402|32||100pF, 50V|CC0402JRNPO9BN101|Digi-Key|311-1024-1-ND|Yageo|100pF ±5% 50V C0G, NP0 Ceramic Capacitor -55°C ~ 125°C Surface Mount, MLCC 0402 (1005 Metric) 0.039" L x 0.020" W (1.00mm x 0.50mm)
6||1uF, 6.3V||C25, C28, C30, C32, C34, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C51, C52, C53, C54, C55, C56, C58, C60, C62, C63, C64, C65, C66, C67, C68, C69, C70, C71, C72, C73, C74, C75, C76, C77, C78, C79, C80, C81, C82, C83, C86, C93, C100, C106, C110, C170, C172, C174, C176, C179, C187|CAP0201|60||1uF, 6.3V|JMK063ABJ105MP-F|Digi-Key|587-5864-2-ND|TDK Corporation|1µF ±20% 6.3V X5R Ceramic Capacitor -55°C ~ 85°C Surface Mount, MLCC 0201 (0603 Metric) 0.024" L x 0.012" W (0.60mm x 0.30mm)
7||10uF, 6.3V||C26, C85, C92, C99, C105, C109, C119, C169, C178, C186, C199, C314|CAP0603|12||10uF, 6.3V|CC0603MRX5R5BB106|Digi-Key|311-1448-2-ND|Yageo|10µF ±20% 6.3V X5R Ceramic Capacitor -55°C ~ 85°C Surface Mount, MLCC 0603 (1608 Metric) 0.063" L x 0.031" W (1.60mm x 0.80mm)
8||1nF, 10%||C27, C29, C31, C33, C35, C50, C57, C59, C61|CAP0201|9||1nF, 10%|C0603X7R1E102K030BA|Digi-Key|445-7275-1-ND|TDK Corporation|1000pF ±10% 25V X7R Ceramic Capacitor -55°C ~ 125°C Surface Mount, MLCC 0201 (0603 Metric) 0.024" L x 0.012" W (0.60mm x 0.30mm)
9||100nF, 6.3V||C87, C88, C89, C90, C91, C94, C95, C96, C97, C98, C101, C102, C103, C104, C107, C108, C111, C112, C113, C114, C115, C116, C117, C171, C173, C175, C177, C180, C182, C184|CAP0201|30||100nF, 6.3V|GRT033C81A104KE01D|Digi-Key|490-12232-1-ND|Murata|0.10µF ±10% 6.3V X6S Ceramic Capacitor -55°C ~ 105°C Surface Mount, MLCC 0201 (0603 Metric) 0.024" L x 0.012" W (0.60mm x 0.30mm)
10||1uF, 10V|CAP CER 1UF 10V X5R 0402|C118, C140, C190, C191, C192, C193, C228, C232, C233, C241, C242, C251, C266, C290|CAP0402|14|CC0402MRX5R6BB105|1uF, 10V|CC0402MRX5R6BB105|Digi-Key|311-1732-1-ND|Yageo|1µF 10V Ceramic Capacitor X5R 0402 (1005 Metric) 0.039" L x 0.020" W (1.00mm x 0.50mm)
