Altium Designer Pick and Place Locations
d:\Lime\LimePCBs\LimeNET-Micro_2v0\Altium Designer design files\Project Outputs for LimeNet-Micro_2v0\Pick Place\Pick Place for LimeNet-Micro_2v0.txt

========================================================================================================================
File Design Information:

Date:       13-11-18
Time:       16:06
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment                          Layer       Footprint                                       Center-X(mm) Center-Y(mm) Rotation Description                                                                                                               
R252       22R                              TopLayer    RES0402                                         38.4500      76.7750      90       ""                                                                                                                        
VT8        STS10N3LH5                       TopLayer    STS10P3LLH6_PMOS_SO8                            71.7500      71.4750      90       ""                                                                                                                        
F8         Fiducial                         BottomLayer Fiducial                                        -8.0000      151.0000     0        ""                                                                                                                        
F7         Fiducial                         BottomLayer Fiducial                                        83.0000      151.0000     0        ""                                                                                                                        
F6         Fiducial                         BottomLayer Fiducial                                        83.0000      -8.0000      0        ""                                                                                                                        
F5         Fiducial                         BottomLayer Fiducial                                        -8.0000      -8.0000      0        ""                                                                                                                        
FL3        Fiducial                         BottomLayer Fiducial_local                                  49.0500      26.7000      0        ""                                                                                                                        
FL2        Fiducial                         TopLayer    Fiducial_local                                  49.6750      90.7250      180      ""                                                                                                                        
R235       "1k, 1%"                         TopLayer    RES0402                                         13.7680      109.0250     360      ""                                                                                                                        
R131       0R                               BottomLayer RES0402                                         33.8750      101.4250     90       ""                                                                                                                        
C194       "47uF, 10V"                      BottomLayer CAP1206                                         49.0250      38.4000      180      ""                                                                                                                        
C195       "47uF, 10V"                      BottomLayer CAP1206                                         49.4000      31.7000      180      ""                                                                                                                        
C196       "47uF, 10V"                      BottomLayer CAP1206                                         48.8000      29.3250      180      ""                                                                                                                        
C289       "47uF, 10V"                      TopLayer    CAP1206                                         57.0500      61.3250      180      ""                                                                                                                        
J16        "Micro SD card holder"           TopLayer    MICRO_SD_CARD_114-00841-68_v2                   57.8500      135.2125     180      ""                                                                                                                        
SB1        "Switch tactile right edge"      BottomLayer SW_TACTILE_RIGHT_EDGE                           71.3000      37.2000      270      ""                                                                                                                        
MN20       "12nH, 5%"                       TopLayer    RES0402                                         63.2583      22.4000      180      ""                                                                                                                        
MN21       "10nH, 5%"                       TopLayer    RES0402                                         61.5833      19.4500      90       ""                                                                                                                        
MN18       "4.3nH, 5%"                      TopLayer    RES0402                                         64.7833      21.1250      270      ""                                                                                                                        
MN9        "22nH, 5%"                       TopLayer    RES0402                                         62.2250      13.3000      180      ""                                                                                                                        
MN8        "8.2nH, 5%"                      TopLayer    RES0402                                         60.5500      16.0000      270      ""                                                                                                                        
MN4        "8.2nH, 5%"                      TopLayer    RES0402                                         63.8250      14.5750      90       ""                                                                                                                        
C21        "100pF, 50V"                     TopLayer    CAP0402                                         57.9000      28.2000      90       ""                                                                                                                        
C18        "100pF, 50V"                     TopLayer    CAP0402                                         65.8833      21.1250      270      ""                                                                                                                        
C17        "100pF, 50V"                     TopLayer    CAP0402                                         59.2500      6.7500       90       ""                                                                                                                        
C8         "100pF, 50V"                     TopLayer    CAP0402                                         59.9500      9.3750       90       ""                                                                                                                        
C7         "100pF, 50V"                     TopLayer    CAP0402                                         65.0500      14.5750      90       ""                                                                                                                        
J26        CONN_PWR_JACK_2.1x5.5mm          BottomLayer CONN_PWR_JACK_V2                                69.3500      50.8250      90       "Power Connector, THT, 2.1mm ID, 5.5mm OD"                                                                                
IC24       FSUSB42UMX                       BottomLayer FSUSB42UMX                                      19.9250      134.9500     180      ""                                                                                                                        
R221       "10R, 5%"                        TopLayer    RES0402                                         52.7450      55.9500      90       ""                                                                                                                        
R222       "21k, 1%"                        BottomLayer RES0402                                         49.5546      46.6750      270      ""                                                                                                                        
