Altium Designer Pick and Place Locations
d:\Lime\LimePCBs\LimeNET-Micro_2v1\Altium Designer design files\Project Outputs for LimeNet-Micro_2v1\Pick Place\Pick Place for LimeNet-Micro_2v1.txt

========================================================================================================================
File Design Information:

Date:       22-01-19
Time:       12:16
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment                     Layer       Footprint                                       Center-X(mm) Center-Y(mm) Rotation Description                                                                                                               
IC11       PE42422                     TopLayer    PE42422_QFN12                                   62.6000      24.8750      90       ""                                                                                                                        
IC10       PE42422                     TopLayer    PE42422_QFN12                                   62.1000      29.9500      270      ""                                                                                                                        
IC8        PE42422                     TopLayer    PE42422_QFN12                                   64.1250      13.7750      90       ""                                                                                                                        
IC4        PE42422                     TopLayer    PE42422_QFN12                                   64.3500      8.7500       360      ""                                                                                                                        
FR55       "600R, 2A"                  BottomLayer RES0805                                         63.8899      2.1727       360      ""                                                                                                                        
C330       "100nF, 16V"                BottomLayer CAP0402                                         66.5750      3.2245       360      ""                                                                                                                        
C329       "1uF, 10V"                  BottomLayer CAP0402                                         66.5750      2.2250       180      "CAP CER 1UF 10V X5R 0402"                                                                                                
C38        "100pF, 50V"                BottomLayer CAP0402                                         61.6334      24.8000      180      ""                                                                                                                        
C37        "100pF, 50V"                TopLayer    CAP0402                                         60.7000      25.8900      270      ""                                                                                                                        
C36        "100pF, 50V"                TopLayer    CAP0402                                         64.5700      30.4500      180      ""                                                                                                                        
C35        "100pF, 50V"                TopLayer    CAP0402                                         64.5750      29.4500      180      ""                                                                                                                        
C34        "100pF, 50V"                TopLayer    CAP0402                                         65.0500      24.8750      180      ""                                                                                                                        
C33        "100pF, 50V"                TopLayer    CAP0402                                         62.1000      27.4500      90       ""                                                                                                                        
C32        "100pF, 50V"                TopLayer    CAP0402                                         61.6000      31.9500      360      ""                                                                                                                        
C29        "100pF, 50V"                BottomLayer CAP0402                                         64.5250      11.8200      180      ""                                                                                                                        
C27        "100pF, 50V"                TopLayer    CAP0402                                         62.0750      14.5250      270      ""                                                                                                                        
C25        "100pF, 50V"                TopLayer    CAP0402                                         66.1500      12.6250      90       ""                                                                                                                        
C12        "100pF, 50V"                BottomLayer CAP0402                                         63.8500      9.1750       90       ""                                                                                                                        
C11        "100pF, 50V"                BottomLayer CAP0402                                         64.8500      9.1750       90       ""                                                                                                                        
C9         "100pF, 50V"                TopLayer    CAP0402                                         66.2750      9.2500       270      ""                                                                                                                        
C7         "100pF, 50V"                TopLayer    CAP0402                                         62.3250      9.2500       270      ""                                                                                                                        
L3         "???uH, ???A"               TopLayer    NRS4018T3R3MDGJ_inductor                        64.9500      47.2000      270      ""                                                                                                                        
BR2        HD01-T                      TopLayer    HD01-T__RECTIFIER_BRIDGE_V1                     50.3309      71.7750      90       ""                                                                                                                        
BR1        HD01-T                      TopLayer    HD01-T__RECTIFIER_BRIDGE_V1                     51.7750      80.7000      90       ""                                                                                                                        
J26        ""                          BottomLayer HDR_1x2                                         7.2500       95.1750      180      ""                                                                                                                        
C286       "10uF, 100V"                TopLayer    CAP_POL_SIZE_E                                  52.1500      58.2750      270      ""                                                                                                                        
VT10       FDC86244                    TopLayer    SOT23-6                                         67.1750      61.2750      360      ""                                                                                                                        
T5         NA6223-AL                   BottomLayer PoE13P-50L_Flyback_transformer                  57.7500      51.6750      270      ""                                                                                                                        
IC45       LMZ10501                    TopLayer    LMZ10501                                        5.3000       26.9500      270      ""                                                                                                                        
FR49       "600R, 2A"                  TopLayer    RES0805                                         46.4452      68.1750      180      ""                                                                                                                        
FR48       "600R, 2A"                  TopLayer    RES0805                                         50.7733      65.5500      270      ""                                                                                                                        
FR41       "600R, 2A"                  TopLayer    RES0805                                         23.9250      128.8500     360      ""                                                                                                                        
D7         TS431AILT                   TopLayer    SOT23-5                                         50.6750      47.3000      180      ""                                                                                                                        
D6         BAT54SLT1G                  TopLayer    BAT54SLT1G_SOT23-3                              46.4000      47.5750      90       ""                                                                                                                        
D5         MMSD4148T1G                 TopLayer    MMSD4148T1G_diode_SOD123                        56.7012      67.1500      270      ""                                                                                                                        
R112       22R                         TopLayer    RES0402                                         38.4500      76.7750      90       ""                                                                                                                        
VT8        CSD17527Q5A                 TopLayer    CSD17527Q5A_NMOS_8-VSONP                        59.7550      44.6450      180      ""                                                                                                                        
F8         Fiducial                    BottomLayer Fiducial                                        -8.0000      151.0000     0        ""                                                                                                                        
F7         Fiducial                    BottomLayer Fiducial                                        83.0000      151.0000     0        ""                                                                                                                        
F6         Fiducial                    BottomLayer Fiducial                                        83.0000      -8.0000      0        ""                                                                                                                        
F5         Fiducial                    BottomLayer Fiducial                                        -8.0000      -8.0000      0        ""                                                                                                                        
FL3        Fiducial                    BottomLayer Fiducial_local                                  49.0500      26.7000      0        ""                                                                                                                        
FL2        Fiducial                    TopLayer    Fiducial_local                                  49.6750      90.7250      180      ""                                                                                                                        
R219       "1k, 1%"                    TopLayer    RES0402                                         13.7680      109.0250     360      ""                                                                                                                        
R121       0R                          BottomLayer RES0402                                         33.8750      101.4250     90       ""                                                                                                                        
C208       "47uF, 10V"                 BottomLayer CAP1206                                         49.0250      38.4000      180      ""                                                                                                                        
C209       "47uF, 10V"                 BottomLayer CAP1206                                         49.4000      31.7000      180      ""                                                                                                                        
C210       "47uF, 10V"                 BottomLayer CAP1206                                         48.8000      29.3250      180      ""                                                                                                                        
C304       "470nF, 50V"                TopLayer    CAP0603                                         32.9000      49.0500      90       ""                                                                                                                        
J16        "Micro SD card holder"      TopLayer    MICRO_SD_CARD_114-00841-68_v2                   57.8500      135.2125     180      ""                                                                                                                        
SB1        "Switch tactile right edge" BottomLayer SW_TACTILE_RIGHT_EDGE                           71.3000      37.2000      270      ""                                                                                                                        
MN16       "12nH, 5%"                  TopLayer    RES0402                                         60.9282      21.9555      180      ""                                                                                                                        
MN17       "10nH, 5%"                  TopLayer    RES0402                                         58.7532      19.5055      360      ""                                                                                                                        
MN12       "4.3nH, 5%"                 TopLayer    RES0402                                         62.4532      20.6805      270      ""                                                                                                                        
MN8        "22nH, 5%"                  TopLayer    RES0402                                         60.5000      14.3500      180      ""                                                                                                                        
MN5        "8.2nH, 5%"                 TopLayer    RES0402                                         58.8250      17.0500      270      ""                                                                                                                        
MN4        "8.2nH, 5%"                 TopLayer    RES0402                                         62.0250      16.6250      270      ""                                                                                                                        
C28        "100pF, 50V"                TopLayer    CAP0402                                         57.9000      28.2000      90       ""                                                                                                                        
C18        "100pF, 50V"                TopLayer    CAP0402                                         63.5532      20.6805      270      ""                                                                                                                        
C22        "100pF, 50V"                TopLayer    CAP0402                                         59.2500      6.7500       90       ""                                                                                                                        
C10        "100pF, 50V"                TopLayer    CAP0402                                         59.9500      9.3750       90       ""                                                                                                                        
C8         "100pF, 50V"                TopLayer    CAP0402                                         63.6250      16.1250      180      ""                                                                                                                        
J28        CONN_PWR_JACK_2.1x5.5mm     BottomLayer CONN_PWR_JACK_V2                                69.3500      50.8250      90       "Power Connector, THT, 2.1mm ID, 5.5mm OD"                                                                                
IC28       FSUSB42UMX                  BottomLayer FSUSB42UMX                                      19.9250      134.9500     180      ""                                                                                                                        
R212       "10k, 1%"                   TopLayer    RES0402                                         51.9750      49.7750      90       ""                                                                                                                        
R213       "2k, 1%"                    TopLayer    RES0402                                         32.9375      46.4750      90       ""                                                                                                                        
R218       "0.5R, 1%"                  TopLayer    RES1206                                         70.6000      56.8250      180      ""                                                                                                                        
R235       0R                          BottomLayer RES0805                                         34.7250      7.0250       180      ""                                                                                                                        
R209       0R                          TopLayer    RES0402                                         40.4640      48.9000      270      ""                                                                                                                        
R216       "10R. 1%"                   TopLayer    RES0603                                         32.7500      43.8000      360      ""                                                                                                                        
R211       "59k, 1%"                   TopLayer    RES0402                                         41.5750      48.7250      90       ""                                                                                                                        
R201       "10R 1%"                    TopLayer    RES0805                                         55.0500      47.8250      90       ""                                                                                                                        
R199       "10R. 1%"                   TopLayer    RES0603                                         52.6250      42.9250      270      ""                                                                                                                        
R217       "1k, 1%"                    TopLayer    RES0402                                         31.8871      40.8000      360      ""                                                                                                                        
J1         "SMA board edge"            TopLayer    SMA_connector_board_edge_SM                     72.6500      11.4750      90       "CONN SMA JACK STR 50OHM EDGE MNT"                                                                                        
IC3        CAT24C128WI-GT3             BottomLayer SOIC127P600-8DL_v2                              24.1000      8.7500       180      CAT24C128WI-GT3                                                                                                           
ESD1       ESD8472                     TopLayer    ESD8472_X3DFN2                                  69.2000      11.7000      90       ""                                                                                                                        
C306       "1000pF, 2kV"               TopLayer    CAP1812                                         69.3750      52.6250      90       ""                                                                                                                        
C2         "100nF, 16V"                BottomLayer CAP0402                                         19.4750      11.1500      90       ""                                                                                                                        
IC1        LMS7002M                    TopLayer    LMS7002M_v5                                     41.1075      18.5483      180      "Schematic symbol revision 3. Default footprint - 0.31mm pad"                                                             
IC5        "Duplexer B8 (B5)"          TopLayer    SAW_filter_duplexer_TAIYO_YUDEN_1p8x1p4_2p0x1p6 60.5000      16.1250      270      ""                                                                                                                        
IC7        "Duplexer B3 (B2)"          TopLayer    SAW_filter_duplexer_TAIYO_YUDEN_1p8x1p4_2p0x1p6 60.9282      20.1805      270      ""                                                                                                                        
XT1        25MHz                       TopLayer    CRYSTAL_4-LCC                                   63.1000      88.6500      180      "Oscillator Crystal 25 MHz"                                                                                               
XO4        "RTX5032A, 40.00MHz"        TopLayer    RAKON_RTX5032A                                  27.7360      91.8750      270      ""                                                                                                                        
XO3        "E5280LF 30.72MHz"          TopLayer    RAKON_TXCO                                      22.2500      91.9250      90       ""                                                                                                                        
XO2        "E6245LF 30.72 MHz"         TopLayer    RAKON_RPT7050A                                  22.2500      92.0750      90       ""                                                                                                                        
XO1        "U7475LF 30.72MHz"          TopLayer    AOCJYR-10.000MHZ                                24.9250      75.5250      270      ""                                                                                                                        
VT1        IRLML6244TRPBF              TopLayer    SOT23-3                                         4.6750       33.1750      90       NDS331N                                                                                                                   
VT4        DMG1012T                    BottomLayer SOT523                                          29.9000      104.5750     270      ""                                                                                                                        
VT3        DMG1012T                    BottomLayer SOT523                                          29.9046      101.8630     270      ""                                                                                                                        
T3         TC1-1-13M-45+               TopLayer    TC1-1-13MA+_JA4220-AL_                          54.6809      24.9528      270      ""                                                                                                                        
T4         TC1-1-13M-45+               TopLayer    TC1-1-13MA+_JA4220-AL_                          54.6809      30.0528      270      ""                                                                                                                        
